,prix,kilometrage,energie,capacite,cO2,transmission,portes,CV,date
277,15290.0,8581.0,Essence,5.0,96.0,Manuelle,4.0,4.0,2019.0
278,19690.0,2600.0,Essence,5.0,130.0,Manuelle,4.0,6.0,2020.0
279,30490.0,4715.0,Diesel,7.0,138.0,Automatique,4.0,6.0,2020.0
280,13990.0,10000.0,Essence,5.0,127.0,Manuelle,4.0,4.0,2020.0
281,28990.0,9477.0,Essence,7.0,,Automatique,4.0,6.0,2020.0
282,16290.0,31250.0,Essence,5.0,111.0,Manuelle,4.0,6.0,2018.0
283,16990.0,6600.0,Diesel,5.0,117.0,Manuelle,4.0,5.0,2020.0
284,15690.0,16722.0,Essence,5.0,106.0,Manuelle,4.0,5.0,2019.0
285,16490.0,17238.0,Essence,5.0,104.0,Manuelle,4.0,5.0,2019.0
286,24490.0,31608.0,Essence,5.0,109.0,Automatique,4.0,6.0,2019.0
287,17490.0,15611.0,Diesel,5.0,86.0,Manuelle,4.0,5.0,2019.0
288,24490.0,20715.0,Essence,5.0,109.0,Automatique,4.0,6.0,2019.0
289,17490.0,18300.0,Essence,5.0,104.0,Manuelle,4.0,5.0,2019.0
290,29890.0,12995.0,Diesel,5.0,102.0,Automatique,4.0,6.0,2020.0
291,20499.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,2019.0
292,19490.0,19926.0,Essence,5.0,104.0,Manuelle,4.0,5.0,2020.0
293,24990.0,12954.0,Essence,7.0,109.0,Automatique,4.0,6.0,2020.0
294,11990.0,53065.0,Diesel,5.0,90.0,Manuelle,4.0,5.0,2017.0
295,30990.0,9666.0,Essence,5.0,128.0,Automatique,4.0,10.0,2019.0
296,10990.0,7635.0,Essence,5.0,127.0,Manuelle,4.0,5.0,2019.0
297,11990.0,1000.0,Essence,4.0,109.0,Manuelle,4.0,4.0,2020.0
298,16990.0,5763.0,Essence,5.0,104.0,Manuelle,4.0,5.0,2019.0
299,31490.0,27262.0,Essence,5.0,128.0,Automatique,4.0,10.0,2019.0
300,13290.0,8676.0,Essence,5.0,96.0,Manuelle,4.0,4.0,2019.0
301,13990.0,62255.0,Diesel,5.0,100.0,Automatique,4.0,6.0,2017.0
302,15990.0,50100.0,Essence,5.0,133.0,Manuelle,4.0,6.0,2016.0
303,15990.0,30200.0,Essence,5.0,105.0,Automatique,2.0,5.0,2017.0
304,30990.0,7594.0,Essence,5.0,111.0,Automatique,4.0,7.0,2020.0
305,18290.0,3900.0,Essence,5.0,114.0,Automatique,2.0,6.0,2019.0
306,19980.0,77500.0,Diesel,5.0,,Automatique,4.0,7.0,
307,20499.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,2019.0
308,22980.0,28500.0,Diesel,5.0,,Automatique,4.0,9.0,
309,24980.0,10.0,Diesel,5.0,,Automatique,4.0,7.0,
310,4990.0,108868.0,Essence,5.0,,Manuelle,4.0,7.0,
311,11980.0,36500.0,Essence,5.0,,Manuelle,4.0,4.0,
312,6980.0,147142.0,Diesel,4.0,,Manuelle,2.0,9.0,
313,17970.0,103800.0,Diesel,5.0,150.0,Automatique,4.0,8.0,2015.0
314,15970.0,17070.0,Essence,,,Manuelle,5.0,6.0,2018.0
315,12970.0,55064.0,Essence,5.0,114.0,Semi automatique,5.0,5.0,2017.0
316,17490.0,11990.0,Essence,,,Manuelle,5.0,5.0,2020.0
317,13970.0,13521.0,,4.0,,Automatique,5.0,2.0,2018.0
318,11970.0,77962.0,Diesel,2.0,,Manuelle,4.0,7.0,2016.0
319,16999.0,22141.0,Diesel,5.0,,Automatique,4.0,5.0,2018.0
320,11999.0,100024.0,Diesel,4.0,,Manuelle,2.0,8.0,2015.0
321,26999.0,24750.0,Essence,5.0,,Manuelle,4.0,8.0,2018.0
322,10499.0,73370.0,Essence,5.0,,Manuelle,2.0,5.0,2015.0
323,20499.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,2019.0
324,25999.0,31720.0,Essence,4.0,,Manuelle,2.0,10.0,2018.0
325,37999.0,4500.0,Diesel,,,Automatique,4.0,,2020.0
326,14999.0,8000.0,Diesel,,,Manuelle,4.0,4.0,2020.0
327,15999.0,49398.0,Essence,5.0,,Manuelle,4.0,7.0,2017.0
328,24999.0,13407.0,Essence,5.0,,Manuelle,4.0,7.0,2018.0
329,3999.0,84949.0,Essence,4.0,106.0,Manuelle,4.0,4.0,2008.0
330,23999.0,35969.0,Diesel,,,Automatique,4.0,,2019.0
331,18999.0,29427.0,Hybride,,,Automatique,4.0,5.0,2018.0
332,9500.0,178300.0,Diesel,4.0,197.0,Automatique,2.0,15.0,2006.0
333,11300.0,43000.0,Essence,5.0,114.0,Manuelle,4.0,5.0,2018.0
334,11990.0,55000.0,Diesel,,,Manuelle,,,
335,8290.0,110000.0,Diesel,5.0,,Manuelle,,,
336,7990.0,114600.0,Diesel,,,Manuelle,,,
337,7990.0,99500.0,Diesel,5.0,,Manuelle,,,
338,8490.0,125000.0,Diesel,5.0,,Manuelle,5.0,,
339,20499.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,2019.0
340,1700.0,262000.0,Diesel,,,Manuelle,,,
341,14490.0,117000.0,Diesel,7.0,115.0,Automatique,5.0,8.0,2015.0
342,8990.0,27000.0,Essence,,,Manuelle,4.0,4.0,2018.0
343,10690.0,129000.0,Diesel,5.0,,Manuelle,4.0,5.0,2015.0
344,3900.0,199000.0,Diesel,5.0,179.0,Manuelle,4.0,12.0,2007.0
345,7990.0,120767.0,Diesel,5.0,,Manuelle,5.0,7.0,2012.0
346,8490.0,91500.0,Essence,7.0,172.0,Manuelle,4.0,8.0,2011.0
